well,core,section,cum_depth_cm,bottom_elev_m,top_elev_m,inundation_fraction,dry_fraction
WLW1,1.0,1.0,2.72727272727,184.848557673,184.8758304,0.219088937093,0.780911062907
WLW1,1.0,2.0,16.3636363636,184.712194036,184.848557673,0.229592419226,0.770407580774
WLW1,1.0,3.0,30.0,184.5758304,184.712194036,0.263785820299,0.736214179701
WLW1,2.0,4.0,39.3103448276,184.482726952,184.5758304,0.295125014271,0.704874985729
WLW1,2.0,5.0,49.6551724138,184.379278676,184.482726952,0.319671195342,0.680328804658
WLW1,2.0,6.0,60.0,184.2758304,184.379278676,0.352209156296,0.647790843704
WLW1,3.0,7.0,60.0,184.2758304,184.2758304,0.414773375956,0.585226624044
WLW1,3.0,8.0,75.0,184.1258304,184.2758304,0.414773375956,0.585226624044
WLW1,3.0,9.0,90.0,183.9758304,184.1258304,0.481162233132,0.518837766868
WLW1,4.0,10.0,100.0,183.8758304,183.9758304,1.0,0.0
WLW1,4.0,11.0,110.0,183.7758304,183.8758304,1.0,0.0
WLW1,4.0,12.0,120.0,183.6758304,183.7758304,1.0,0.0
WLW2,1.0,1.0,0.0,184.8066408,184.8066408,0.416086311223,0.583913688777
WLW2,1.0,2.0,15.0,184.6566408,184.8066408,0.416086311223,0.583913688777
WLW2,1.0,3.0,30.0,184.5066408,184.6566408,0.430014841877,0.569985158123
WLW2,2.0,4.0,40.0,184.4066408,184.5066408,0.489211097157,0.510788902843
WLW2,2.0,5.0,50.0,184.3066408,184.4066408,0.526258705332,0.473741294668
WLW2,2.0,6.0,60.0,184.2066408,184.3066408,0.560908779541,0.439091220459
WLW2,3.0,7.0,70.0,184.1066408,184.2066408,0.601153099669,0.398846900331
WLW2,3.0,8.0,80.0,184.0066408,184.1066408,0.651786733645,0.348213266355
WLW2,3.0,9.0,90.0,183.9066408,184.0066408,0.748201849526,0.251798150474
WLW2,4.0,10.0,100.0,183.8066408,183.9066408,0.98675647905,0.0132435209499
WLW2,4.0,11.0,110.0,183.7066408,183.8066408,1.0,0.0
WLW2,4.0,12.0,120.0,183.6066408,183.7066408,1.0,0.0
WLW3,1.0,1.0,0.0,184.8697344,184.8697344,0.398104806485,0.601895193515
WLW3,1.0,2.0,14.2105263158,184.727629137,184.8697344,0.398104806485,0.601895193515
WLW3,1.0,3.0,30.0,184.5697344,184.727629137,0.461867793127,0.538132206873
WLW3,2.0,4.0,30.0,184.5697344,184.5697344,0.585055371618,0.414944628382
WLW3,2.0,5.0,45.0,184.4197344,184.5697344,0.585055371618,0.414944628382
WLW3,2.0,6.0,60.0,184.2697344,184.4197344,0.696711953419,0.303288046581
WLW3,3.0,7.0,60.0,184.2697344,184.2697344,0.832515127298,0.167484872702
WLW3,3.0,8.0,75.0,184.1197344,184.2697344,0.832515127298,0.167484872702
WLW3,3.0,9.0,90.0,183.9697344,184.1197344,0.940289987441,0.0597100125585
WLW3,4.0,10.0,100.0,183.8697344,183.9697344,0.988982760589,0.0110172394109
WLW3,4.0,11.0,110.0,183.7697344,183.8697344,0.999885831716,0.000114168284051
WLW3,4.0,12.0,120.0,183.6697344,183.7697344,1.0,0.0
WLW4,1.0,1.0,0.0,184.751472,184.751472,0.405639913232,0.594360086768
