"","avgdar"
"2016-07-09 12:00:00",0
"2016-07-09 12:30:00",0
"2016-07-09 13:00:00",0
"2016-07-09 13:30:00",0
"2016-07-09 14:00:00",0
"2016-07-09 14:30:00",0
"2016-07-09 15:00:00",0
"2016-07-09 15:30:00",0
"2016-07-09 16:00:00",0
"2016-07-09 16:30:00",0
"2016-07-09 17:00:00",0
"2016-07-09 17:30:00",0
"2016-07-09 18:00:00",0
"2016-07-09 18:30:00",0
"2016-07-09 19:00:00",0
"2016-07-09 19:30:00",0
"2016-07-09 20:00:00",0
"2016-07-09 20:30:00",0
"2016-07-09 21:00:00",0
"2016-07-09 21:30:00",0
"2016-07-09 22:00:00",0
"2016-07-09 22:30:00",0
"2016-07-09 23:00:00",0
"2016-07-09 23:30:00",0
"2016-07-10 00:00:00",0
"2016-07-10 00:30:00",0
"2016-07-10 01:00:00",0
"2016-07-10 01:30:00",0
"2016-07-10 02:00:00",0
"2016-07-10 02:30:00",0
"2016-07-10 03:00:00",0
"2016-07-10 03:30:00",0
"2016-07-10 04:00:00",0
"2016-07-10 04:30:00",0
"2016-07-10 05:00:00",0
"2016-07-10 05:30:00",0
"2016-07-10 06:00:00",0
"2016-07-10 06:30:00",0
"2016-07-10 07:00:00",0
"2016-07-10 07:30:00",0
"2016-07-10 08:00:00",0
"2016-07-10 08:30:00",0
"2016-07-10 09:00:00",0
"2016-07-10 09:30:00",0
"2016-07-10 10:00:00",0
"2016-07-10 10:30:00",0
"2016-07-10 11:00:00",0
"2016-07-10 11:30:00",0
"2016-07-10 12:00:00",0
"2016-07-10 12:30:00",0
"2016-07-10 13:00:00",0
"2016-07-10 13:30:00",0
"2016-07-10 14:00:00",0
"2016-07-10 14:30:00",0
"2016-07-10 15:00:00",0
"2016-07-10 15:30:00",0
"2016-07-10 16:00:00",0
"2016-07-10 16:30:00",0
"2016-07-10 17:00:00",0
"2016-07-10 17:30:00",0
"2016-07-10 18:00:00",0
"2016-07-10 18:30:00",0
"2016-07-10 19:00:00",0
"2016-07-10 19:30:00",0
"2016-07-10 20:00:00",0
"2016-07-10 20:30:00",0
"2016-07-10 21:00:00",0
"2016-07-10 21:30:00",0
"2016-07-10 22:00:00",0
"2016-07-10 22:30:00",0
"2016-07-10 23:00:00",0
"2016-07-10 23:30:00",0
"2016-07-11 00:00:00",0
"2016-07-11 00:30:00",0
"2016-07-11 01:00:00",0
"2016-07-11 01:30:00",0
"2016-07-11 02:00:00",0
"2016-07-11 02:30:00",0
"2016-07-11 03:00:00",0
"2016-07-11 03:30:00",0
"2016-07-11 04:00:00",0
"2016-07-11 04:30:00",0
"2016-07-11 05:00:00",0
"2016-07-11 05:30:00",0
"2016-07-11 06:00:00",0
"2016-07-11 06:30:00",0
"2016-07-11 07:00:00",0
"2016-07-11 07:30:00",0
"2016-07-11 08:00:00",0
"2016-07-11 08:30:00",0
"2016-07-11 09:00:00",0
"2016-07-11 09:30:00",0
"2016-07-11 10:00:00",0
"2016-07-11 10:30:00",0
"2016-07-11 11:00:00",0
"2016-07-11 11:30:00",0
"2016-07-11 12:00:00",0
"2016-07-11 12:30:00",0
"2016-07-11 13:00:00",0
"2016-07-11 13:30:00",0
"2016-07-11 14:00:00",0
"2016-07-11 14:30:00",0
"2016-07-11 15:00:00",0
"2016-07-11 15:30:00",0
"2016-07-11 16:00:00",0
"2016-07-11 16:30:00",0
"2016-07-11 17:00:00",0
"2016-07-11 17:30:00",0
"2016-07-11 18:00:00",0
"2016-07-11 18:30:00",0
"2016-07-11 19:00:00",0
"2016-07-11 19:30:00",0
"2016-07-11 20:00:00",0
"2016-07-11 20:30:00",0
"2016-07-11 21:00:00",0
"2016-07-11 21:30:00",0
"2016-07-11 22:00:00",0
"2016-07-11 22:30:00",0
"2016-07-11 23:00:00",0
"2016-07-11 23:30:00",0
"2016-07-12 00:00:00",0
"2016-07-12 00:30:00",0
"2016-07-12 01:00:00",0
"2016-07-12 01:30:00",0
"2016-07-12 02:00:00",0
"2016-07-12 02:30:00",0
"2016-07-12 03:00:00",0
"2016-07-12 03:30:00",0
"2016-07-12 04:00:00",0
"2016-07-12 04:30:00",0
"2016-07-12 05:00:00",0
"2016-07-12 05:30:00",0
"2016-07-12 06:00:00",0
"2016-07-12 06:30:00",0
"2016-07-12 07:00:00",0
"2016-07-12 07:30:00",0
