well,core,section,section_recovery_cm,factor,section_length_cm,cum_depth_cm,bottom_elev_m,top_elev_m,inundation_fraction,dry_fraction
WLW1,1.0,1.0,2,1.36363636364,2.72727272727,2.72727272727,184.848557673,184.8758304,0.197529593412,0.802470406588
WLW1,1.0,2.0,10,1.36363636364,13.6363636364,16.3636363636,184.712194036,184.848557673,0.206999485332,0.793000514668
WLW1,1.0,3.0,10,1.36363636364,13.6363636364,30.0,184.5758304,184.712194036,0.237828100875,0.762171899125
WLW1,2.0,4.0,9,1.03448275862,9.31034482759,39.3103448276,184.482726952,184.5758304,0.266083376222,0.733916623778
WLW1,2.0,5.0,10,1.03448275862,10.3448275862,49.6551724138,184.379278676,184.482726952,0.288214101904,0.711785898096
WLW1,2.0,6.0,10,1.03448275862,10.3448275862,60.0,184.2758304,184.379278676,0.317550180134,0.682449819866
WLW1,3.0,7.0,0,1.5,0.0,60.0,184.2758304,184.2758304,0.373957797221,0.626042202779
WLW1,3.0,8.0,10,1.5,15.0,75.0,184.1258304,184.2758304,0.373957797221,0.626042202779
WLW1,3.0,9.0,10,1.5,15.0,90.0,183.9758304,184.1258304,0.434379825013,0.565620174987
WLW1,4.0,10.0,10,1.0,10.0,100.0,183.8758304,183.9758304,1.0,0.0
WLW1,4.0,11.0,10,1.0,10.0,110.0,183.7758304,183.8758304,1.0,0.0
WLW1,4.0,12.0,10,1.0,10.0,120.0,183.6758304,183.7758304,1.0,0.0
WLW2,1.0,1.0,0,1.5,0.0,0.0,184.8066408,184.8066408,0.375122227369,0.624877772631
WLW2,1.0,2.0,10,1.5,15.0,15.0,184.6566408,184.8066408,0.375122227369,0.624877772631
WLW2,1.0,3.0,10,1.5,15.0,30.0,184.5066408,184.6566408,0.387679481241,0.612320518759
WLW2,2.0,4.0,10,1.0,10.0,40.0,184.4066408,184.5066408,0.4410478102,0.5589521898
WLW2,2.0,5.0,10,1.0,10.0,50.0,184.3066408,184.4066408,0.476146364057,0.523853635943
