depth_cm,WLW1,WLW2,WLW3,WLW4,WLW5,WLW6,WLW7,WLW8,WLW9,WLW10,WLW11
2.54,2,2,2,2,2,2,2,1,1,1,2
5.08,2,2,2,2,2,2,2,1,1,1,2
7.62,2,2,2,2,2,2,2,1,2,1,2
10.16,2,2,2,2,2,2,2,2,2,1,2
12.7,2,2,2,2,2,2,2,2,2,1,2
15.24,2,2,2,2,2,2,2,2,2,1,2
17.78,2,2,2,2,2,2,2,2,2,1,2
20.32,2,2,2,2,2,2,2,2,2,1,2
22.86,2,2,2,2,2,2,2,2,2,1,2
25.4,2,2,2,2,2,2,2,2,2,1,2
27.94,2,2,2,2,2,2,2,2,2,1,2
30.48,2,2,2,2,2,2,2,2,2,1,3
33.02,2,2,2,2,2,2,2,2,2,1,3
35.56,2,2,2,2,2,2,2,2,2,1,3
38.1,2,2,2,2,1,2,2,2,2,1,3
40.64,1,2,2,2,1,2,1,2,2,1,3
43.18,1,2,2,2,1,3,1,3,2,1,3
45.72,1,1,4,2,1,3,1,3,3,1,3
48.26,1,1,4,2,1,3,1,3,3,1,3
50.8,1,1,4,2,4,3,1,3,3,1,3
53.34,1,1,4,3,4,3,1,3,3,1,3
55.88,1,1,4,3,4,3,1,3,3,1,3
58.42,1,1,4,3,4,3,1,3,3,1,3
60.96,1,1,4,3,4,3,1,3,3,1,3
63.5,1,1,4,3,4,3,1,3,3,1,3
66.04,1,1,4,3,4,3,1,3,3,1,3
68.58,1,1,4,3,4,3,1,3,3,1,3
71.12,4,1,4,3,4,3,1,3,3,1,3
73.66,4,1,4,3,4,3,1,3,3,1,3
76.2,4,1,4,1,4,4,1,5,3,1,3
78.74,4,1,4,1,4,4,1,5,3,1,3
81.28,4,1,4,1,4,4,1,5,3,1,3
83.82,4,1,4,1,4,4,1,5,3,1,1
86.36,4,1,4,1,4,4,4,5,3,4,1
88.9,4,1,4,1,4,4,4,5,3,4,1
91.44,4,1,4,1,2,4,4,5,3,4,1
93.98,4,1,4,1,2,4,4,5,3,4,1
96.52,4,1,4,1,2,4,4,5,3,4,1
99.06,4,1,4,1,2,4,4,5,3,4,1
101.6,4,1,4,1,2,1,4,5,1,4,1
104.14,1,1,4,1,2,1,4,5,1,4,1
106.68,1,1,4,1,2,1,4,5,1,4,1
109.22,1,1,4,1,2,1,4,5,1,4,1
111.76,1,1,4,1,2,1,4,5,1,4,1
114.3,1,1,4,1,2,1,4,5,1,4,1
116.84,1,1,5,1,2,1,4,5,1,4,1
119.38,1,1,5,1,2,1,4,5,1,4,1
121.92,1,1,5,1,2,1,4,5,1,4,1
