depth_cm,WLW1,WLW2,WLW3,WLW4,WLW5,WLW6,WLW7,WLW8,WLW9,WLW10,WLW11,WLW12,WLW14
2.54,1,1,1,4,1,4,1,5,5,4,4,4,4
5.08,1,1,1,4,1,4,1,5,5,4,4,4,4
7.62,1,1,1,4,1,4,1,5,1,4,4,4,4
10.16,1,1,1,4,1,4,1,4,1,4,4,4,4
12.7,1,1,1,4,1,4,1,4,1,4,4,4,4
15.24,1,1,1,4,1,4,1,4,1,4,4,4,4
17.78,1,1,1,4,1,4,1,4,1,4,4,4,4
20.32,1,1,1,4,1,4,1,4,1,4,4,4,4
22.86,1,1,1,4,1,4,1,4,1,4,4,4,4
25.4,1,1,1,4,1,4,1,4,4,4,4,4,4
27.94,1,1,1,4,1,4,1,4,4,4,4,4,4
30.48,1,1,1,4,1,4,1,4,4,4,3,4,4
33.02,1,1,1,4,1,4,1,4,4,4,3,4,4
35.56,1,1,1,4,1,4,1,4,4,1,3,4,4
38.1,1,1,1,4,1,4,1,4,4,1,3,4,4
40.64,1,1,1,4,1,4,3,4,4,1,3,4,4
43.18,1,1,1,4,1,1,3,3,4,1,3,4,4
45.72,1,1,2,4,1,1,3,3,3,1,3,4,4
48.26,1,1,2,4,1,1,3,3,3,1,3,4,4
50.8,1,1,2,4,1,1,3,3,3,1,3,4,4
53.34,1,1,2,1,1,1,3,3,3,1,3,4,1
55.88,1,1,1,1,1,1,3,3,3,1,3,4,1
58.42,1,1,1,1,1,1,3,3,3,1,3,4,1
60.96,1,1,1,1,1,1,3,3,3,1,3,4,1
63.5,1,1,1,1,1,1,3,3,3,1,3,3,1
66.04,1,1,1,1,1,1,3,3,3,1,3,3,1
68.58,1,1,1,1,1,1,3,3,3,1,3,3,1
71.12,2,1,1,1,2,1,3,3,3,1,3,3,1
73.66,2,1,1,1,2,1,3,3,3,1,3,3,1
76.2,2,1,1,2,2,1,1,3,3,1,3,3,1
78.74,2,1,1,2,2,1,1,3,3,1,3,3,1
81.28,2,1,1,2,2,1,1,3,3,1,3,3,2
83.82,2,1,1,2,2,1,1,3,3,1,3,3,2
86.36,2,1,1,2,2,1,1,3,3,1,3,3,2
88.9,2,1,1,2,2,1,1,3,3,1,3,3,2
91.44,2,1,1,2,4,1,1,3,3,1,3,3,2
93.98,2,1,1,2,4,1,1,3,3,1,3,3,2
96.52,2,1,1,2,4,1,1,3,3,1,3,3,2
99.06,2,1,1,2,4,1,1,3,3,1,3,3,2
101.6,2,1,1,2,4,1,1,3,1,1,3,3,2
104.14,6,1,1,2,4,1,1,3,1,1,3,3,2
106.68,6,6,1,2,4,1,1,3,1,1,3,3,2
109.22,6,6,1,2,4,1,1,3,1,1,3,3,2
111.76,6,6,1,2,4,1,1,3,1,1,3,3,2
114.3,6,6,1,2,4,1,1,3,1,1,3,3,2
116.84,6,6,3,2,4,1,1,3,1,1,3,3,2
119.38,6,6,3,2,4,1,1,3,1,1,3,3,2
121.92,6,6,3,2,4,1,1,3,1,1,3,3,2
