well,core,section,cum_depth_cm,bottom_elev_m,top_elev_m,toggle_period_seconds
WLW1,1.0,1.0,2.72727272727,184.848557673,184.8758304,1864718.18182
WLW1,1.0,2.0,16.3636363636,184.712194036,184.848557673,1709325.0
WLW1,1.0,3.0,30.0,184.5758304,184.712194036,932359.090909
WLW1,2.0,4.0,39.3103448276,184.482726952,184.5758304,820476.0
WLW1,2.0,5.0,49.6551724138,184.379278676,184.482726952,759700.0
WLW1,2.0,6.0,60.0,184.2758304,184.379278676,788919.230769
WLW1,3.0,7.0,60.0,184.2758304,184.2758304,640996.875
WLW1,3.0,8.0,75.0,184.1258304,184.2758304,640996.875
WLW1,3.0,9.0,90.0,183.9758304,184.1258304,569775.0
WLW1,4.0,10.0,100.0,183.8758304,183.9758304,269893.421053
WLW1,4.0,11.0,110.0,183.7758304,183.8758304,269893.421053
WLW1,4.0,12.0,120.0,183.6758304,183.7758304,269893.421053
WLW2,1.0,1.0,12.8571428571,184.678374171,184.8069456,1864718.18182
WLW2,1.0,2.0,30.0,184.5069456,184.678374171,1577838.46154
WLW2,1.0,3.0,30.0,184.5069456,184.5069456,759700.0
WLW2,2.0,4.0,40.0,184.4069456,184.5069456,759700.0
WLW2,2.0,5.0,50.0,184.3069456,184.4069456,820476.0
WLW2,2.0,6.0,60.0,184.2069456,184.3069456,1206582.35294
WLW2,3.0,7.0,70.0,184.1069456,184.2069456,891821.73913
WLW2,3.0,8.0,80.0,184.0069456,184.1069456,683730.0
WLW2,3.0,9.0,90.0,183.9069456,184.0069456,347659.322034
WLW2,4.0,10.0,100.0,183.8069456,183.9069456,359857.894737
WLW2,4.0,11.0,110.0,183.7069456,183.8069456,359857.894737
WLW2,4.0,12.0,120.0,183.6069456,183.7069456,359857.894737
WLW3,1.0,1.0,0.0,184.8697344,184.8697344,2564325.0
WLW3,1.0,2.0,14.2105263158,184.727629137,184.8697344,2564325.0
WLW3,1.0,3.0,30.0,184.5697344,184.727629137,621654.545455
WLW3,2.0,4.0,30.0,184.5697344,184.5697344,641081.25
WLW3,2.0,5.0,45.0,184.4197344,184.5697344,641081.25
WLW3,2.0,6.0,60.0,184.2697344,184.4197344,661761.290323
WLW3,3.0,7.0,60.0,184.2697344,184.2697344,759800.0
WLW3,3.0,8.0,75.0,184.1197344,184.2697344,759800.0
WLW3,3.0,9.0,90.0,183.9697344,184.1197344,1139700.0
WLW3,4.0,10.0,100.0,183.8697344,183.9697344,1282162.5
WLW3,4.0,11.0,110.0,183.7697344,183.8697344,1864963.63636
WLW3,4.0,12.0,120.0,183.6697344,183.7697344,1864963.63636
WLW4,1.0,1.0,0.0,184.751472,184.751472,1025640.0
WLW4,1.0,2.0,14.2105263158,184.609366737,184.751472,1025640.0
WLW4,1.0,3.0,30.0,184.451472,184.609366737,621600.0
WLW4,2.0,4.0,30.0,184.451472,184.451472,512820.0
WLW4,2.0,5.0,41.25,184.338972,184.451472,512820.0
WLW4,2.0,6.0,60.0,184.151472,184.338972,477041.860465
WLW4,3.0,7.0,60.0,184.151472,184.151472,707337.931034
WLW4,3.0,8.0,75.7142857143,183.994329143,184.151472,707337.931034
WLW4,3.0,9.0,90.0,183.851472,183.994329143,891860.869565
WLW4,4.0,10.0,100.0,183.751472,183.851472,1709400.0
WLW4,4.0,11.0,110.0,183.651472,183.751472,1709400.0
WLW4,4.0,12.0,120.0,183.551472,183.651472,1709400.0
WLW5,1.0,1.0,5.0,184.751764,184.801764,539905.263158
WLW5,1.0,2.0,17.5,184.626764,184.751764,359936.842105
WLW5,1.0,3.0,30.0,184.501764,184.626764,320568.75
WLW5,2.0,4.0,36.9230769231,184.432533231,184.501764,526061.538462
WLW5,2.0,5.0,48.4615384615,184.317148615,184.432533231,373025.454545
WLW5,2.0,6.0,60.0,184.201764,184.317148615,1139800.0
WLW5,3.0,7.0,66.0,184.141764,184.201764,1282275.0
WLW5,3.0,8.0,78.0,184.021764,184.141764,1206847.05882
WLW5,3.0,9.0,90.0,183.901764,184.021764,1282275.0
WLW5,4.0,10.0,98.5714285714,183.816049714,183.901764,2051640.0
WLW5,4.0,11.0,109.285714286,183.708906857,183.816049714,759866.666667
WLW5,4.0,12.0,120.0,183.601764,183.708906857,759866.666667
WLW6,1.0,1.0,8.57142857143,185.017496914,185.1032112,641109.375
WLW6,1.0,2.0,19.2857142857,184.910354057,185.017496914,373009.090909
WLW6,1.0,3.0,30.0,184.8032112,184.910354057,466261.363636
