well,core,section,cum_depth_cm,bottom_elev_m,top_elev_m,toggle_period_seconds
WLW1,1.0,1.0,2.72727272727,184.848557673,184.8758304,1552815.0
WLW1,1.0,2.0,16.3636363636,184.712194036,184.848557673,1826841.17647
WLW1,1.0,3.0,30.0,184.5758304,184.712194036,1150233.33333
WLW1,2.0,4.0,39.3103448276,184.482726952,184.5758304,1035210.0
WLW1,2.0,5.0,49.6551724138,184.379278676,184.482726952,862675.0
WLW1,2.0,6.0,60.0,184.2758304,184.379278676,913420.588235
WLW1,3.0,7.0,60.0,184.2758304,184.2758304,862675.0
WLW1,3.0,8.0,75.0,184.1258304,184.2758304,862675.0
WLW1,3.0,9.0,90.0,183.9758304,184.1258304,1001816.12903
WLW1,4.0,10.0,100.0,183.8758304,183.9758304,722239.534884
WLW1,4.0,11.0,110.0,183.7758304,183.8758304,722239.534884
WLW1,4.0,12.0,120.0,183.6758304,183.7758304,722239.534884
WLW2,1.0,1.0,12.8571428571,184.678374171,184.8069456,2389015.38462
WLW2,1.0,2.0,30.0,184.5069456,184.678374171,1411690.90909
WLW2,1.0,3.0,30.0,184.5069456,184.5069456,970537.5
WLW2,2.0,4.0,40.0,184.4069456,184.5069456,970537.5
WLW2,2.0,5.0,50.0,184.3069456,184.4069456,1070937.93103
WLW2,2.0,6.0,60.0,184.2069456,184.3069456,1634589.47368
WLW2,3.0,7.0,70.0,184.1069456,184.2069456,1194507.69231
WLW2,3.0,8.0,80.0,184.0069456,184.1069456,621144.0
WLW2,3.0,9.0,90.0,183.9069456,184.0069456,408647.368421
WLW2,4.0,10.0,100.0,183.8069456,183.9069456,419691.891892
WLW2,4.0,11.0,110.0,183.7069456,183.8069456,419691.891892
WLW2,4.0,12.0,120.0,183.6069456,183.7069456,419691.891892
WLW3,1.0,1.0,0.0,184.8697344,184.8697344,941181.818182
WLW3,1.0,2.0,14.2105263158,184.727629137,184.8697344,941181.818182
WLW3,1.0,3.0,30.0,184.5697344,184.727629137,675195.652174
WLW3,2.0,4.0,30.0,184.5697344,184.5697344,609000.0
WLW3,2.0,5.0,45.0,184.4197344,184.5697344,609000.0
WLW3,2.0,6.0,60.0,184.2697344,184.4197344,675195.652174
WLW3,3.0,7.0,60.0,184.2697344,184.2697344,690200.0
WLW3,3.0,8.0,75.0,184.1197344,184.2697344,690200.0
WLW3,3.0,9.0,90.0,183.9697344,184.1197344,1725500.0
WLW3,4.0,10.0,100.0,183.8697344,183.9697344,1941187.5
WLW3,4.0,11.0,110.0,183.7697344,183.8697344,2389153.84615
WLW3,4.0,12.0,120.0,183.6697344,183.7697344,2389153.84615
WLW4,1.0,1.0,0.0,184.751472,184.751472,1242288.0
WLW4,1.0,2.0,14.2105263158,184.609366737,184.751472,1242288.0
WLW4,1.0,3.0,30.0,184.451472,184.609366737,690160.0
WLW4,2.0,4.0,30.0,184.451472,184.451472,544863.157895
WLW4,2.0,5.0,41.25,184.338972,184.451472,544863.157895
WLW4,2.0,6.0,60.0,184.151472,184.338972,544863.157895
WLW4,3.0,7.0,60.0,184.151472,184.151472,796338.461538
WLW4,3.0,8.0,75.7142857143,183.994329143,184.151472,796338.461538
WLW4,3.0,9.0,90.0,183.851472,183.994329143,1242288.0
WLW4,4.0,10.0,100.0,183.751472,183.851472,2218371.42857
WLW4,4.0,11.0,110.0,183.651472,183.751472,2823381.81818
WLW4,4.0,12.0,120.0,183.551472,183.651472,2823381.81818
WLW5,1.0,1.0,5.0,184.751764,184.801764,277312.5
WLW5,1.0,2.0,17.5,184.626764,184.751764,333967.741935
WLW5,1.0,3.0,30.0,184.501764,184.626764,301543.68932
WLW5,2.0,4.0,36.9230769231,184.432533231,184.501764,633857.142857
WLW5,2.0,5.0,48.4615384615,184.317148615,184.432533231,437450.704225
WLW5,2.0,6.0,60.0,184.201764,184.317148615,1411772.72727
WLW5,3.0,7.0,66.0,184.141764,184.201764,1725500.0
WLW5,3.0,8.0,78.0,184.021764,184.141764,1634684.21053
WLW5,3.0,9.0,90.0,183.901764,184.021764,1725500.0
WLW5,4.0,10.0,98.5714285714,183.816049714,183.901764,2588250.0
WLW5,4.0,11.0,109.285714286,183.708906857,183.816049714,2588250.0
WLW5,4.0,12.0,120.0,183.601764,183.708906857,2588250.0
WLW6,1.0,1.0,8.57142857143,185.017496914,185.1032112,526423.728814
WLW6,1.0,2.0,19.2857142857,184.910354057,185.017496914,345100.0
WLW6,1.0,3.0,30.0,184.8032112,184.910354057,333967.741935
WLW6,2.0,4.0,37.7777777778,184.725433422,184.8032112,1001903.22581
WLW6,2.0,5.0,48.8888888889,184.614322311,184.725433422,431375.0
WLW6,2.0,6.0,60.0,184.5032112,184.614322311,500951.612903
WLW6,3.0,7.0,60.0,184.5032112,184.5032112,690200.0
WLW6,3.0,8.0,75.7142857143,184.346068343,184.5032112,690200.0
WLW6,3.0,9.0,90.0,184.2032112,184.346068343,1071000.0
WLW6,4.0,10.0,97.7777777778,184.125433422,184.2032112,1634684.21053
WLW6,4.0,11.0,108.888888889,184.014322311,184.125433422,1242360.0
WLW6,4.0,12.0,120.0,183.9032112,184.014322311,1242360.0
WLW7,1.0,1.0,7.77777777778,185.930689422,186.0084672,1941131.25
WLW7,1.0,2.0,18.8888888889,185.819578311,185.930689422,757514.634146
WLW7,1.0,3.0,30.0,185.7084672,185.819578311,1411731.81818
WLW7,2.0,4.0,40.0,185.6084672,185.7084672,1194542.30769
WLW7,2.0,5.0,50.0,185.5084672,185.6084672,913473.529412
WLW7,2.0,6.0,60.0,185.4084672,185.5084672,1035270.0
WLW7,3.0,7.0,60.0,185.4084672,185.4084672,1634636.84211
WLW7,3.0,8.0,75.7142857143,185.251324343,185.4084672,1634636.84211
WLW7,3.0,9.0,90.0,185.1084672,185.251324343,1725450.0
WLW7,4.0,10.0,96.0,185.0484672,185.1084672,1001874.19355
WLW7,4.0,11.0,108.0,184.9284672,185.0484672,1194542.30769
WLW7,4.0,12.0,120.0,184.8084672,184.9284672,1194542.30769
WLW8,1.0,1.0,5.0,186.5138128,186.5638128,2070600.0
WLW8,1.0,2.0,17.5,186.3888128,186.5138128,3882375.0
WLW8,1.0,3.0,30.0,186.2638128,186.3888128,1194576.92308
WLW8,2.0,4.0,36.9230769231,186.194582031,186.2638128,796384.615385
WLW8,2.0,5.0,48.4615384615,186.079197415,186.194582031,544894.736842
WLW8,2.0,6.0,60.0,185.9638128,186.079197415,575166.666667
WLW8,3.0,7.0,70.0,185.8638128,185.9638128,1035300.0
WLW8,3.0,8.0,80.0,185.7638128,185.8638128,941181.818182
WLW8,3.0,9.0,90.0,185.6638128,185.7638128,2389153.84615
WLW8,4.0,10.0,100.0,185.5638128,185.6638128,2389153.84615
WLW8,4.0,11.0,110.0,185.4638128,185.5638128,2389153.84615
WLW8,4.0,12.0,120.0,185.3638128,185.4638128,2389153.84615
WLW9,1.0,1.0,6.0,185.497668,185.557668,
WLW9,1.0,2.0,18.0,185.377668,185.497668,1242360.0
WLW9,1.0,3.0,30.0,185.257668,185.377668,796384.615385
WLW9,2.0,4.0,37.7777777778,185.179890222,185.257668,675195.652174
WLW9,2.0,5.0,48.8888888889,185.068779111,185.179890222,597288.461538
WLW9,2.0,6.0,60.0,184.957668,185.068779111,621180.0
WLW9,3.0,7.0,68.5714285714,184.871953714,184.957668,2070600.0
WLW9,3.0,8.0,79.2857142857,184.764810857,184.871953714,2588250.0
WLW9,3.0,9.0,90.0,184.657668,184.764810857,5176500.0
WLW9,4.0,10.0,98.5714285714,184.571953714,184.657668,3451000.0
WLW9,4.0,11.0,109.285714286,184.464810857,184.571953714,1941187.5
WLW9,4.0,12.0,120.0,184.357668,184.464810857,1941187.5
WLW10,1.0,1.0,10.0,185.0565512,185.1565512,744097.5
WLW10,1.0,2.0,20.0,184.9565512,185.0565512,407724.657534
WLW10,1.0,3.0,30.0,184.8565512,184.9565512,407724.657534
WLW10,2.0,4.0,36.9230769231,184.787320431,184.8565512,465060.9375
WLW10,2.0,5.0,48.4615384615,184.671935815,184.787320431,960125.806452
WLW10,2.0,6.0,60.0,184.5565512,184.671935815,744097.5
WLW10,3.0,7.0,66.9230769231,184.487320431,184.5565512,480062.903226
WLW10,3.0,8.0,78.4615384615,184.371935815,184.487320431,647041.304348
WLW10,3.0,9.0,90.0,184.2565512,184.371935815,826775.0
WLW10,4.0,10.0,95.0,184.2065512,184.2565512,1984260.0
WLW10,4.0,11.0,107.5,184.0815512,184.2065512,1984260.0
WLW10,4.0,12.0,120.0,183.9565512,184.0815512,1984260.0
