sensor,latitude,longitude,coord_m,vertices_coords,encl_area_m
WLW1,41.607313,-87.690286,"[262.46299336111406, 320.3884215191938]","[[242.3780915359011, 197.14289711865774], [300.3368601932649, 224.69002393563426], [301.3277797890841, 225.89922310596467], [309.32146012945, 441.0102557640603], [-452.973116581521, 2050.398672922188], [-1057.281412562982, 1414.5620001276197]]",39525.1455422
WLW2,41.607279,-87.689271,"[347.09826460824115, 317.2433141041547]","[[301.3277797890841, 225.89922310596467], [309.32146012945, 441.0102557640603], [423.2685938612407, 324.83998641382584], [387.06605862159284, 268.0499043692675]]",14167.0917026
WLW3,41.608026,-87.688241,"[432.3354550811928, 400.8493313413346]","[[-452.973116581521, 2050.398672922188], [309.32146012945, 441.0102557640603], [423.2685938612407, 324.83998641382584], [465.9926572653352, 329.5072376105116], [595.2799913562056, 526.9058623403562], [2851.0176089106963, 7712.050784054038], [3352.07260193235, 9420.900687624791]]",11091.1261249
WLW4,41.60669,-87.68806,"[448.5325462372857, 252.58099943620618]","[[469.65904465670076, 184.20903797633076], [545.971836262325, 226.23029148529892], [465.9926572653352, 329.5072376105116], [423.2685938612407, 324.83998641382584], [387.06605862159284, 268.0499043692675]]",12596.3666207
WLW5,41.607355,-87.686898,"[544.8406635438441, 327.1634153762134]","[[465.9926572653352, 329.5072376105116], [595.2799913562056, 526.9058623403562], [604.0303337390079, 217.78792360806543], [545.971836262325, 226.23029148529892]]",19603.0681759
WLW6,41.607376,-87.685553,"[656.9378952770494, 330.336602807045]","[[604.0303337390079, 217.78792360806543], [624.6980884180679, 203.2771976414265], [794.1457937427513, 278.07307833609286], [2851.0176089106963, 7712.050784054038], [595.2799913562056, 526.9058623403562]]",38083.758942
WLW7,41.604864,-87.690424,"[252.98641169723123, 48.30768547265325]","[[-963.1008477739151, -1151.0886803068345], [1014.8352317198977, -2615.454477068341], [680.4227283565804, -866.3425948378248], [427.75936509971314, -50.43419439164384], [237.47516156253937, 164.14565043862407]]",24244.0081323
WLW8,41.605637,-87.689245,"[350.6268648339901, 134.892871853197]","[[433.3067468596979, 129.82707539556245], [427.75936509971314, -50.43419439164384], [237.47516156253937, 164.14565043862407], [242.3780915359011, 197.14289711865774], [300.3368601932649, 224.69002393563426]]",24474.2920112
WLW9,41.606277,-87.688627,"[401.6115548449452, 206.3583761076443]","[[469.65904465670076, 184.20903797633076], [387.06605862159284, 268.0499043692675], [301.3277797890841, 225.89922310596467], [300.3368601932649, 224.69002393563426], [433.3067468596979, 129.82707539556245]]",10797.1147064
WLW10,41.606655,-87.68218,"[938.7042402399238, 252.37601745699067]","[[794.1457937427513, 278.07307833609286], [1663.0143085127, -1276.3694593626037], [3352.07260193235, 9420.900687624791], [2851.0176089106963, 7712.050784054038]]",56619.5910578
WLW12,41.60558,-87.68726,"[516.1416695314692, 129.79929956409615]","[[469.65904465670076, 184.20903797633076], [545.971836262325, 226.23029148529892], [604.0303337390079, 217.78792360806543], [624.6980884180679, 203.2771976414265], [680.4227283565804, -866.3425948378248], [427.75936509971314, -50.43419439164384], [433.3067468596979, 129.82707539556245]]",39945.3320434
WLW13,41.60596,-87.692,"[120.70648785418598, 169.05582849960774]","[[-963.1008477739151, -1151.0886803068345], [237.47516156253937, 164.14565043862407], [242.3780915359011, 197.14289711865774], [-1057.281412562982, 1414.5620001276197]]",62105.546125
WLW14,41.60567,-87.68457,"[740.3021460382733, 141.4775257240981]","[[680.4227283565804, -866.3425948378248], [1014.8352317198977, -2615.454477068341], [1663.0143085127, -1276.3694593626037], [794.1457937427513, 278.07307833609286], [624.6980884180679, 203.2771976414265]]",61316.0936742
