well,section,cum_depth_cm,Ksat
WLW1,1,2.727272727,59.5
WLW1,2,16.36363636,59.5
WLW1,3,30,59.5
WLW1,4,39.31034483,59.5
WLW1,5,49.65517241,57.3
WLW1,6,60,57.3
WLW1,8,75,57.3
WLW1,9,90,1.58E-03
WLW1,10,100,1.58E-03
WLW1,11,110,1.37E+02
WLW1,12,120,1.37E+02
WLW2,1,12.85714286,2.16E+01
WLW2,2,30,2.16E+01
WLW2,4,40,2.16E+01
WLW2,5,50,57.3
WLW2,6,60,57.3
WLW2,7,70,57.3
WLW2,8,80,57.3
WLW2,9,90,57.3
WLW2,10,100,57.3
WLW2,11,110,57.3
WLW2,12,120,1.37E+02
WLW3,2,14.21052632,59.5
WLW3,3,30,59.5
WLW3,5,45,59.5
WLW3,6,60,59.5
WLW3,8,75,59.5
WLW3,9,90,59.5
WLW3,10,100,59.5
WLW3,11,110,59.5
WLW3,12,120,138
WLW4,2,14.21052632,625
WLW4,3,30,625
WLW4,5,41.25,625
WLW4,6,60,625
WLW4,8,75.71428571,5.72E-02
WLW4,9,90,5.72E-02
WLW4,10,100,5.72E-02
WLW4,11,110,5.72E-02
WLW4,12,120,5.72E-02
WLW5,1,5,59.5
WLW5,2,17.5,59.5
WLW5,3,30,59.5
WLW5,4,36.92307692,59.5
WLW5,5,48.46153846,59.5
WLW5,6,60,59.5
WLW5,7,66,59.5
WLW5,8,78,1.58E-03
WLW5,9,90,1.58E-03
WLW5,10,98.57142857,625
WLW5,11,109.2857143,625
WLW5,12,120,625
WLW6,1,8.571428571,448
WLW6,2,19.28571429,448
WLW6,3,30,448
WLW6,4,37.77777778,448
WLW6,5,48.88888889,36.9
WLW6,6,60,36.9
WLW6,8,75.71428571,36.9
WLW6,9,90,36.9
WLW6,10,97.77777778,36.9
WLW6,11,108.8888889,36.9
WLW6,12,120,36.9
WLW7,1,7.777777778,59.5
WLW7,2,18.88888889,59.5
WLW7,3,30,59.5
WLW7,4,40,59.5
WLW7,5,50,3270
WLW7,6,60,3270
WLW7,8,75.71428571,3270
WLW7,9,90,36.9
WLW7,10,96,59.5
WLW7,11,108,59.5
WLW7,12,120,59.5
WLW8,1,5,1120
WLW8,2,17.5,448
WLW8,3,30,448
WLW8,4,36.92307692,448
WLW8,5,48.46153846,8490
WLW8,6,60,8490
WLW8,7,70,8490
WLW8,8,80,8490
WLW8,9,90,8490
WLW8,10,100,8490
WLW8,11,110,8490
WLW8,12,120,8490
WLW9,1,6,1120
WLW9,2,18,59.5
WLW9,3,30,59.5
WLW9,4,37.77777778,448
WLW9,5,48.88888889,448
WLW9,6,60,8490
WLW9,7,68.57142857,8490
WLW9,8,79.28571429,8490
WLW9,9,90,8490
WLW9,10,98.57142857,8490
WLW9,11,109.2857143,27.5
WLW9,12,120,27.5
WLW10,1,10,145
WLW10,2,20,145
WLW10,3,30,145
WLW10,4,36.92307692,145
WLW10,5,48.46153846,27.5
WLW10,6,60,27.5
WLW10,7,66.92307692,27.5
WLW10,8,78.46153846,27.5
WLW10,9,90,27.5
WLW10,10,95,27.5
WLW10,11,107.5,27.5
WLW10,12,120,27.5
WLW12,1,10,448
WLW12,2,20,448
WLW12,3,30,448
WLW12,4,37.83251232,448
WLW12,5,51.13300493,448
WLW12,6,60,448
WLW12,9,90,8490
WLW12,10,100,8490
WLW12,11,110,8490
WLW12,12,120,8490
WLW14,1,10,448
WLW14,2,20,448
WLW14,3,30,448
WLW14,5,45,448
WLW14,6,60,27.5
WLW14,7,70,27.5
WLW14,8,80,27.5
WLW14,9,90,1.58E-03
WLW14,10,105,1.58E-03
WLW14,11,120,1.58E-03
SMP1,1,10,4.48E+02
SMP1,2,20,4.48E+02
SMP1,3,30,4.48E+02
SMP1,4,40,8.49E+03
SMP1,5,50,8.49E+03
SMP1,6,60,8.49E+03
SMP1,7,70,8.49E+03
SMP1,8,80,8.49E+03
SMP1,9,90,8.49E+03
SMP1,10,100,8.49E+03
SMP2,1,10,5.95E+01
SMP2,2,20,5.95E+01
SMP2,3,30,5.95E+01
SMP2,4,40,5.95E+01
SMP2,5,50,5.95E+01
SMP2,6,60,5.95E+01
SMP2,7,70,5.95E+01
SMP2,8,80,1.58E-03
SMP2,9,90,1.58E-03
SMP2,10,100,1.58E-03
W2,1,10,4.48E+02
W2,2,20,5.95E+01
W2,3,30,5.95E+01
W2,4,40,5.95E+01
W2,5,50,5.95E+01
W2,6,60,5.95E+01
W2,7,70,5.95E+01
W2,8,80,5.95E+01
W2,9,90,5.95E+01
W2,10,100,5.95E+01
