well,core,section,section_recovery_cm,factor,section_length_cm,cum_depth_cm,bottom_elev_m,top_elev_m
WLW1,1.0,1.0,2.0,1.36363636364,2.72727272727,2.72727272727,184.848557673,184.8758304
WLW1,1.0,2.0,10.0,1.36363636364,13.6363636364,16.3636363636,184.712194036,184.848557673
WLW1,1.0,3.0,10.0,1.36363636364,13.6363636364,30.0,184.5758304,184.712194036
WLW1,2.0,4.0,9.0,1.03448275862,9.31034482759,39.3103448276,184.482726952,184.5758304
WLW1,2.0,5.0,10.0,1.03448275862,10.3448275862,49.6551724138,184.379278676,184.482726952
WLW1,2.0,6.0,10.0,1.03448275862,10.3448275862,60.0,184.2758304,184.379278676
WLW1,3.0,7.0,0.0,1.5,0.0,60.0,184.2758304,184.2758304
WLW1,3.0,8.0,10.0,1.5,15.0,75.0,184.1258304,184.2758304
WLW1,3.0,9.0,10.0,1.5,15.0,90.0,183.9758304,184.1258304
WLW1,4.0,10.0,10.0,1.0,10.0,100.0,183.8758304,183.9758304
WLW1,4.0,11.0,10.0,1.0,10.0,110.0,183.7758304,183.8758304
WLW1,4.0,12.0,10.0,1.0,10.0,120.0,183.6758304,183.7758304
WLW2,1.0,1.0,7.5,1.71428571429,12.8571428571,12.8571428571,184.678374171,184.8069456
WLW2,1.0,2.0,10.0,1.71428571429,17.1428571429,30.0,184.5069456,184.678374171
WLW2,1.0,3.0,0.0,1.71428571429,0.0,30.0,184.5069456,184.5069456
WLW2,2.0,4.0,10.0,1.0,10.0,40.0,184.4069456,184.5069456
WLW2,2.0,5.0,10.0,1.0,10.0,50.0,184.3069456,184.4069456
WLW2,2.0,6.0,10.0,1.0,10.0,60.0,184.2069456,184.3069456
WLW2,3.0,7.0,10.0,1.0,10.0,70.0,184.1069456,184.2069456
WLW2,3.0,8.0,10.0,1.0,10.0,80.0,184.0069456,184.1069456
WLW2,3.0,9.0,10.0,1.0,10.0,90.0,183.9069456,184.0069456
WLW2,4.0,10.0,10.0,1.0,10.0,100.0,183.8069456,183.9069456
WLW2,4.0,11.0,10.0,1.0,10.0,110.0,183.7069456,183.8069456
WLW2,4.0,12.0,10.0,1.0,10.0,120.0,183.6069456,183.7069456
WLW3,1.0,1.0,0.0,1.57894736842,0.0,0.0,184.8697344,184.8697344
WLW3,1.0,2.0,9.0,1.57894736842,14.2105263158,14.2105263158,184.727629137,184.8697344
WLW3,1.0,3.0,10.0,1.57894736842,15.7894736842,30.0,184.5697344,184.727629137
WLW3,2.0,4.0,0.0,1.5,0.0,30.0,184.5697344,184.5697344
WLW3,2.0,5.0,10.0,1.5,15.0,45.0,184.4197344,184.5697344
WLW3,2.0,6.0,10.0,1.5,15.0,60.0,184.2697344,184.4197344
WLW3,3.0,7.0,0.0,1.5,0.0,60.0,184.2697344,184.2697344
WLW3,3.0,8.0,10.0,1.5,15.0,75.0,184.1197344,184.2697344
WLW3,3.0,9.0,10.0,1.5,15.0,90.0,183.9697344,184.1197344
WLW3,4.0,10.0,10.0,1.0,10.0,100.0,183.8697344,183.9697344
WLW3,4.0,11.0,10.0,1.0,10.0,110.0,183.7697344,183.8697344
WLW3,4.0,12.0,10.0,1.0,10.0,120.0,183.6697344,183.7697344
WLW4,1.0,1.0,0.0,1.57894736842,0.0,0.0,184.751472,184.751472
WLW4,1.0,2.0,9.0,1.57894736842,14.2105263158,14.2105263158,184.609366737,184.751472
WLW4,1.0,3.0,10.0,1.57894736842,15.7894736842,30.0,184.451472,184.609366737
WLW4,2.0,4.0,0.0,1.875,0.0,30.0,184.451472,184.451472
WLW4,2.0,5.0,6.0,1.875,11.25,41.25,184.338972,184.451472
WLW4,2.0,6.0,10.0,1.875,18.75,60.0,184.151472,184.338972
WLW4,3.0,7.0,0.0,1.42857142857,0.0,60.0,184.151472,184.151472
WLW4,3.0,8.0,11.0,1.42857142857,15.7142857143,75.7142857143,183.994329143,184.151472
WLW4,3.0,9.0,10.0,1.42857142857,14.2857142857,90.0,183.851472,183.994329143
WLW4,4.0,10.0,10.0,1.0,10.0,100.0,183.751472,183.851472
WLW4,4.0,11.0,10.0,1.0,10.0,110.0,183.651472,183.751472
WLW4,4.0,12.0,10.0,1.0,10.0,120.0,183.551472,183.651472
WLW5,1.0,1.0,4.0,1.25,5.0,5.0,184.751764,184.801764
WLW5,1.0,2.0,10.0,1.25,12.5,17.5,184.626764,184.751764
WLW5,1.0,3.0,10.0,1.25,12.5,30.0,184.501764,184.626764
WLW5,2.0,4.0,6.0,1.15384615385,6.92307692308,36.9230769231,184.432533231,184.501764
WLW5,2.0,5.0,10.0,1.15384615385,11.5384615385,48.4615384615,184.317148615,184.432533231
WLW5,2.0,6.0,10.0,1.15384615385,11.5384615385,60.0,184.201764,184.317148615
WLW5,3.0,7.0,5.0,1.2,6.0,66.0,184.141764,184.201764
WLW5,3.0,8.0,10.0,1.2,12.0,78.0,184.021764,184.141764
WLW5,3.0,9.0,10.0,1.2,12.0,90.0,183.901764,184.021764
WLW5,4.0,10.0,8.0,1.07142857143,8.57142857143,98.5714285714,183.816049714,183.901764
WLW5,4.0,11.0,10.0,1.07142857143,10.7142857143,109.285714286,183.708906857,183.816049714
WLW5,4.0,12.0,10.0,1.07142857143,10.7142857143,120.0,183.601764,183.708906857
WLW6,1.0,1.0,8.0,1.07142857143,8.57142857143,8.57142857143,185.017496914,185.1032112
WLW6,1.0,2.0,10.0,1.07142857143,10.7142857143,19.2857142857,184.910354057,185.017496914
WLW6,1.0,3.0,10.0,1.07142857143,10.7142857143,30.0,184.8032112,184.910354057
WLW6,2.0,4.0,7.0,1.11111111111,7.77777777778,37.7777777778,184.725433422,184.8032112
WLW6,2.0,5.0,10.0,1.11111111111,11.1111111111,48.8888888889,184.614322311,184.725433422
WLW6,2.0,6.0,10.0,1.11111111111,11.1111111111,60.0,184.5032112,184.614322311
WLW6,3.0,7.0,0.0,1.42857142857,0.0,60.0,184.5032112,184.5032112
WLW6,3.0,8.0,11.0,1.42857142857,15.7142857143,75.7142857143,184.346068343,184.5032112
WLW6,3.0,9.0,10.0,1.42857142857,14.2857142857,90.0,184.2032112,184.346068343
WLW6,4.0,10.0,7.0,1.11111111111,7.77777777778,97.7777777778,184.125433422,184.2032112
WLW6,4.0,11.0,10.0,1.11111111111,11.1111111111,108.888888889,184.014322311,184.125433422
WLW6,4.0,12.0,10.0,1.11111111111,11.1111111111,120.0,183.9032112,184.014322311
WLW7,1.0,1.0,7.0,1.11111111111,7.77777777778,7.77777777778,185.930689422,186.0084672
WLW7,1.0,2.0,10.0,1.11111111111,11.1111111111,18.8888888889,185.819578311,185.930689422
WLW7,1.0,3.0,10.0,1.11111111111,11.1111111111,30.0,185.7084672,185.819578311
WLW7,2.0,4.0,10.0,1.0,10.0,40.0,185.6084672,185.7084672
WLW7,2.0,5.0,10.0,1.0,10.0,50.0,185.5084672,185.6084672
WLW7,2.0,6.0,10.0,1.0,10.0,60.0,185.4084672,185.5084672
WLW7,3.0,7.0,0.0,1.42857142857,0.0,60.0,185.4084672,185.4084672
WLW7,3.0,8.0,11.0,1.42857142857,15.7142857143,75.7142857143,185.251324343,185.4084672
WLW7,3.0,9.0,10.0,1.42857142857,14.2857142857,90.0,185.1084672,185.251324343
WLW7,4.0,10.0,5.0,1.2,6.0,96.0,185.0484672,185.1084672
WLW7,4.0,11.0,10.0,1.2,12.0,108.0,184.9284672,185.0484672
WLW7,4.0,12.0,10.0,1.2,12.0,120.0,184.8084672,184.9284672
WLW8,1.0,1.0,4.0,1.25,5.0,5.0,186.5138128,186.5638128
WLW8,1.0,2.0,10.0,1.25,12.5,17.5,186.3888128,186.5138128
WLW8,1.0,3.0,10.0,1.25,12.5,30.0,186.2638128,186.3888128
WLW8,2.0,4.0,6.0,1.15384615385,6.92307692308,36.9230769231,186.194582031,186.2638128
WLW8,2.0,5.0,10.0,1.15384615385,11.5384615385,48.4615384615,186.079197415,186.194582031
WLW8,2.0,6.0,10.0,1.15384615385,11.5384615385,60.0,185.9638128,186.079197415
WLW8,3.0,7.0,10.0,1.0,10.0,70.0,185.8638128,185.9638128
WLW8,3.0,8.0,10.0,1.0,10.0,80.0,185.7638128,185.8638128
WLW8,3.0,9.0,10.0,1.0,10.0,90.0,185.6638128,185.7638128
WLW8,4.0,10.0,10.0,1.0,10.0,100.0,185.5638128,185.6638128
WLW8,4.0,11.0,10.0,1.0,10.0,110.0,185.4638128,185.5638128
WLW8,4.0,12.0,10.0,1.0,10.0,120.0,185.3638128,185.4638128
WLW9,1.0,1.0,5.0,1.2,6.0,6.0,185.497668,185.557668
WLW9,1.0,2.0,10.0,1.2,12.0,18.0,185.377668,185.497668
WLW9,1.0,3.0,10.0,1.2,12.0,30.0,185.257668,185.377668
WLW9,2.0,4.0,7.0,1.11111111111,7.77777777778,37.7777777778,185.179890222,185.257668
WLW9,2.0,5.0,10.0,1.11111111111,11.1111111111,48.8888888889,185.068779111,185.179890222
