element,well_id,core_id,setion_id,depth_cm,z_m,r1_ppm,r3_ppm,av_ex,st_dev_ex
Pb,1,1,1,2.73,184.864,24.749,1.363,13.056,16.537
Pb,1,1,2,16.36,184.727,9.601,9.249,9.425,0.249
Pb,1,1,3,30,184.591,4.617,5.123,4.87,0.358
Pb,1,2,4,39.31,184.498,3.665,3.706,3.685,0.029
Pb,1,2,5,49.66,184.394,3,1.57,2.285,1.011
Pb,1,2,6,60,184.291,2.247,1.301,1.774,0.669
Pb,1,3,8,75,184.141,7.217,8.794,8.006,1.115
Pb,1,3,9,90,183.991,10.714,10.589,10.652,0.088
Pb,1,4,10,100,183.891,6.17,7.076,6.623,0.64
Pb,1,4,11,110,183.791,4.221,4.178,4.199,0.031
Pb,1,4,12,120,183.691,5.08,6.761,5.92,1.189
Pb,2,1,1,0,184.807,44.809,3.508,24.158,29.205
Pb,2,1,2,15,184.657,24.384,10.09,17.237,10.107
Pb,2,2,4,40,184.407,7.032,5.582,6.307,1.026
Pb,2,2,5,50,184.307,4.779,,4.779,
Pb,2,2,6,60,184.207,2.824,3.631,3.227,0.571
Pb,2,3,7,70,184.107,3.348,2.105,2.726,0.879
Pb,2,3,8,80,184.007,4.273,2.873,3.573,0.989
Pb,2,3,9,90,183.907,9.069,6.754,7.911,1.636
Pb,2,4,10,100,183.807,5.341,7.642,6.491,1.627
Pb,2,4,11,110,183.707,4.815,7.152,5.984,1.652
Pb,2,4,12,120,183.607,3.574,4.799,4.187,0.866
Pb,3,1,2,14.21,184.728,26.709,23.816,25.263,2.046
Pb,3,1,3,30,184.57,12.679,,12.679,
Pb,3,2,5,45,184.42,6.534,7.507,7.021,0.689
Pb,3,2,6,60,184.27,6.249,8.383,7.316,1.509
Pb,3,3,8,75,184.12,6.292,8.417,7.355,1.502
Pb,3,3,9,90,183.97,5.473,8.092,6.782,1.852
Pb,3,4,10,100,183.87,6.304,16.829,11.567,7.442
Pb,3,4,11,110,183.77,6.161,9.796,7.978,2.57
Pb,3,4,12,120,183.67,6.834,6.728,6.781,0.075
Pb,4,1,2,14.21,184.609,44.52,49.176,46.848,3.293
Pb,4,1,3,30,184.451,6.606,18.811,12.708,8.63
Pb,4,2,5,41.25,184.339,10.289,13.858,12.073,2.523
Pb,4,2,6,60,184.151,4.89,6.022,5.456,0.8
Pb,4,3,8,75.71,183.994,4.568,8.315,6.441,2.65
Pb,4,3,9,90,183.851,13.066,13.597,13.332,0.375
Pb,4,4,10,100,183.751,9.491,8.321,8.906,0.827
Pb,4,4,11,110,183.651,3.968,5.605,4.786,1.157
Pb,4,4,12,120,183.551,3.095,4.933,4.014,1.3
Pb,5,1,1,5,184.752,38.091,42.42,40.256,3.061
Pb,5,1,2,17.5,184.627,26.623,30.077,28.35,2.443
Pb,5,1,3,30,184.502,9.025,8.536,8.78,0.345
Pb,5,2,4,36.92,184.433,6.02,6.824,6.422,0.568
Pb,5,2,5,48.46,184.317,5.244,5.903,5.574,0.465
Pb,5,2,6,60,184.202,18.509,18.616,18.563,0.076
Pb,5,3,7,66,184.142,5.022,18.616,11.819,9.613
Pb,5,3,8,78,184.022,5.203,10.594,7.898,3.812
Pb,5,3,9,90,183.902,5.529,7.436,6.482,1.348
Pb,5,4,10,98.57,183.816,6.577,7.196,6.886,0.438
Pb,5,4,11,109.29,183.709,6.611,8.733,7.672,1.501
Pb,5,4,12,120,183.602,5.72,20.124,12.922,10.186
Pb,6,1,1,8.57,185.017,25.061,,25.061,
Pb,6,1,2,19.29,184.91,24.101,26.164,25.133,1.458
Pb,6,1,3,30,184.803,7.607,,7.607,
Pb,6,2,4,37.78,184.725,4.343,6.106,5.225,1.247
Pb,6,2,5,48.89,184.614,3.785,5.094,4.44,0.925
Pb,6,2,6,60,184.503,3.61,6.262,4.936,1.875
Pb,6,3,8,75.71,184.346,4.429,5.297,4.863,0.613
Pb,6,3,9,90,184.203,5.21,6.812,6.011,1.133
Pb,6,4,10,97.78,184.125,8.376,8.598,8.487,0.157
Pb,6,4,11,108.89,184.014,5.99,10.192,8.091,2.971
Pb,6,4,12,120,183.903,4.616,6.835,5.725,1.569
Pb,7,1,1,7.78,185.93,48.254,54.625,51.44,4.505
Pb,7,1,2,18.89,185.819,13.946,27.99,20.968,9.931
Pb,7,1,3,30,185.708,6.334,0.541,3.438,4.096
Pb,7,2,4,40,185.608,9.629,3.06,6.344,4.645
Pb,7,2,5,50,185.508,6.899,1.691,4.295,3.683
Pb,7,2,6,60,185.408,3.833,3.399,3.616,0.307
Pb,7,3,8,75.71,185.251,7.133,8.165,7.649,0.73
Pb,7,3,9,90,185.108,4.838,6.144,5.491,0.924
Pb,7,4,10,96,185.048,3.566,2.626,3.096,0.665
