depth_cm,WLW1,WLW2,WLW3,WLW4,WLW5,WLW6,WLW7,WLW8,WLW9,WLW10,WLW11,WLW12,WLW14
2.54,Black CL,Black CL,Black CL,Black ML,Black CL,Black ML,Black CL,Brown OL,Brown OL,Brown ML,Black ML,Black ML,Black ML
5.08,Black CL,Black CL,Black CL,Black ML,Black CL,Black ML,Black CL,Brown OL,Brown OL,Brown ML,Black ML,Black ML,Black ML
7.62,Black CL,Black CL,Black CL,Black ML,Black CL,Black ML,Black CL,Brown OL,Black CL,Brown ML,Black ML,Black ML,Black ML
10.16,Black CL,Black CL,Black CL,Black ML,Black CL,Black ML,Black CL,Black ML,Black CL,Brown ML,Black ML,Black ML,Black ML
12.7,Black CL,Black CL,Black CL,Black ML,Black CL,Black ML,Black CL,Black ML,Black CL,Brown ML,Black ML,Black ML,Black ML
15.24,Black CL,Black CL,Black CL,Black ML,Black CL,Black ML,Black CL,Black ML,Black CL,Brown ML,Black ML,Black ML,Black ML
17.78,Black CL,Black CL,Black CL,Black ML,Black CL,Black ML,Black CL,Black ML,Black CL,Brown ML,Black ML,Black ML,Black ML
20.32,Black CL,Black CL,Black CL,Black ML,Black CL,Black ML,Black CL,Black ML,Black CL,Brown ML,Black ML,Black ML,Black ML
22.86,Black CL,Black CL,Black CL,Black ML,Black CL,Black ML,Black CL,Black ML,Black CL,Brown ML,Black ML,Black ML,Black ML
25.4,Black CL,Black CL,Black CL,Black ML,Black CL,Black ML,Black CL,Black ML,Black ML,Brown ML,Black ML,Black ML,Black ML
27.94,Black CL,Black CL,Black CL,Black ML,Black CL,Black ML,Black CL,Black ML,Black ML,Brown ML,Black ML,Black ML,Black ML
30.48,Black CL,Black CL,Black CL,Black ML,Black CL,Black ML,Black CL,Black ML,Black ML,Brown ML,Tan SP,Black ML,Black ML
33.02,Black CL,Black CL,Black CL,Black ML,Black CL,Black ML,Black CL,Black ML,Black ML,Brown ML,Tan SP,Brown ML,Black ML
35.56,Black CL,Black CL,Black CL,Black ML,Black CL,Black ML,Black CL,Black ML,Black ML,Brown CL,Tan SP,Brown ML,Black ML
38.1,Black CL,Black CL,Black CL,Black ML,Brown CL,Black ML,Black CL,Black ML,Black ML,Brown CL,Tan SP,Brown ML,Black ML
