well,core_bottom_ft,core_recovery_in
WLW1,1,11
WLW1,2,11.5
WLW1,3,7.75
WLW1,4,12
WLW2,1,6
WLW2,2,12
WLW2,3,12
WLW2,4,12
WLW3,1,7.5
WLW3,2,8
WLW3,3,8
WLW3,4,12
WLW4,1,7.5
WLW4,2,6.5
WLW4,3,8.5
WLW4,4,12
WLW5,1,9.5
WLW5,2,10.5
WLW5,3,10
WLW5,4,11.25
WLW6,1,11.25
WLW6,2,10.75
WLW6,3,8.5
WLW6,4,10.75
WLW7,1,10.75
WLW7,2,12
WLW7,3,10.75
WLW7,4,10
WLW8,1,9.5
WLW8,2,10.5
WLW8,3,12
WLW8,4,12
WLW9,1,10
WLW9,2,10.75
WLW9,3,11.25
WLW9,4,11.25
WLW10,1,12
WLW10,2,10.5
WLW10,3,10.5
WLW10,4,9.5
WLW11,1,4
WLW11,2,11.5
WLW11,3,12
WLW11,4,8.75
