well_id,z_m,Pb_ppm,Cu_ppm,Fe_ppm,Zn_ppm,Ca_ppm,K_ppm,Mg_ppm,P_ppm,Na_ppm
WLW1,184.864,13.05587255,7.002883626,1497.838577,59.17263956,307.0614636,272.4601953,782.5065506,148.8815067,37.8228337
WLW1,184.727,9.424881417,8.76138063,2542.05238,30.11156512,299.3388899,170.8988187,882.7234432,125.2667064,41.39571285
WLW1,184.591,4.870127652,8.808877308,2348.80163,14.42875672,1093.513912,143.9782368,908.7942102,104.1921838,34.88713365
WLW1,184.498,3.685447904,5.739342726,3228.199563,12.86328303,961.7038474,141.7297277,931.2158436,77.11932363,39.0429523
WLW1,184.394,2.284786117,3.990042252,2508.260692,76.33607354,863.8077348,143.7147312,1027.733769,65.3009783,39.29336958
WLW1,184.291,1.774224289,4.206488946,3167.478323,20.8719836,193.9741311,132.3270735,1022.273063,76.57361807,50.79875576
WLW1,184.141,8.005862084,16.90391265,5198.079079,44.95730356,382.960855,346.8528012,1981.652259,181.5419596,58.23437637
WLW1,183.991,10.6516591,25.1192643,8007.647611,74.28333579,503.9329346,881.5246886,2893.949703,255.8774436,86.84213589
WLW1,183.891,6.622980315,11.61716705,6232.420875,35.20538156,2091.943179,523.03473,4268.215323,282.5400315,93.03200342
WLW1,183.791,4.19919667,8.924912176,4278.976335,25.0237863,2357.74246,416.0336716,4101.744437,161.3295698,96.22943997
WLW1,183.691,5.920228425,9.458785409,7419.726075,26.47485733,3898.543372,502.9925941,4436.305432,260.4189666,134.9757083
WLW2,184.707,24.15845187,12.55692242,2323.88474,78.25999323,402.6481196,240.2056597,1000.650379,238.3855511,66.20581718
WLW2,184.607,17.23715739,15.44110362,4320.49746,66.20167837,498.5671601,195.5016625,1205.292596,244.8699501,81.78623663
WLW2,184.407,6.307024086,16.77029092,2461.389629,32.7060172,395.2742991,144.4689145,1017.379813,144.6809321,59.27687463
WLW2,184.307,4.7793999,13.18514107,1697.632496,23.19980374,656.6561602,136.6185243,763.4637574,173.2595508,50.15941293
WLW2,184.207,3.227331439,4.686470852,4682.023794,27.664316,918.0380213,119.8558811,890.7340569,145.147366,41.04195122
WLW2,184.107,2.72642107,4.500410538,5780.149714,29.67685893,970.39189,116.2068608,1041.305407,80.96305489,55.14241155
WLW2,184.007,3.572997529,7.441046032,4563.874961,34.81478696,1092.51628,276.0353517,1578.728411,140.3583559,72.5107161
WLW2,183.907,7.911458922,22.00445318,3235.030545,33.13438577,250.0354022,244.9198644,1425.131313,208.1831375,90.92073043
WLW2,183.807,6.491351708,14.80603815,4594.059213,35.8179759,637.8896389,290.0625813,2570.653752,207.026417,76.59053019
WLW2,183.707,5.983561286,12.43933705,5997.895717,29.76622889,2575.012653,510.338355,3290.488415,256.4509933,106.5490418
WLW2,183.607,4.186684931,8.8444606,5585.037119,22.01210216,2901.309231,443.2906846,4010.323077,218.7193984,108.095196
WLW3,184.67,25.26254729,18.20506954,3701.17772,55.05303476,1076.759611,169.2183682,680.6632053,306.6064568,42.17526789
WLW3,184.57,12.67909641,13.76082153,2825.829705,33.16493396,680.1305006,431.2993912,1073.208802,172.4674574,41.4101152
WLW3,184.37,7.020548842,12.02765791,2105.186277,21.25232785,283.5013902,125.7964557,869.6486281,135.1194209,40.64496251
WLW3,184.27,7.315733591,12.93531492,2987.60959,26.22218559,343.9808031,174.9466096,1250.803253,151.1215143,49.46748461
WLW3,184.07,7.354737301,15.38485768,3354.574916,30.11576051,298.3588045,206.6497697,1391.376042,203.0806714,46.31180773
WLW3,183.97,6.782322879,14.53456995,2368.278895,35.61236953,647.6745404,638.5096669,1074.902651,154.0823653,48.37840996
WLW3,183.87,11.56689027,19.31116877,2066.638636,37.61054793,981.5271336,179.2349761,1327.261862,156.1249481,54.47564435
WLW3,183.77,7.97817334,19.51205187,2061.555926,33.73921444,1231.785856,206.2591795,1733.443251,152.7450963,42.22047091
WLW3,183.67,6.780848574,15.36761528,2483.565898,60.905526,1304.558143,253.9568618,2226.569627,191.706902,49.80884974
WLW4,184.551,46.84798329,23.89228578,4067.078795,141.4875652,387.5188704,188.7341613,899.3695686,324.5509042,85.14712669
WLW4,184.451,12.7082189,13.11525473,3163.212502,40.76983518,389.9093305,94.74353398,867.1841412,198.093471,61.82292285
WLW4,184.251,12.0734728,14.80800311,3304.024409,36.90881297,466.8750521,150.4225321,1184.12462,202.2280241,269.038584
WLW4,184.151,5.456179429,7.351078752,4240.087853,35.30415783,1106.634332,171.9810342,1287.916464,193.2331874,250.1269677
WLW4,183.951,6.441355037,8.943083482,8894.06715,35.4623269,591.8553018,415.4073062,2082.854246,132.0534387,112.7266144
WLW4,183.851,13.33178524,47.18159048,4937.689895,54.11070101,604.4411986,393.5064299,1937.529336,246.7432375,96.18076213
WLW4,183.751,8.905673596,19.5904297,6549.388243,53.55905663,1090.787922,797.047585,2082.269973,259.8328644,125.6543541
WLW4,183.651,4.786480377,12.63207525,4320.483419,33.12445302,3892.155283,525.7718617,3811.766826,215.2498725,128.0338719
WLW4,183.551,4.014232358,9.321301766,3941.608129,26.81928422,3097.565796,537.1766243,4362.674806,249.8653511,118.0792077
WLW5,184.702,40.2555707,22.93922269,3420.690556,99.20138802,339.1596912,264.102046,870.404954,454.5381762,41.87045943
WLW5,184.602,28.34976007,14.79012619,2762.304559,38.8638641,1248.799049,103.4670887,673.1282242,203.4342974,37.06343172
WLW5,184.502,8.780449858,11.80505363,2042.224742,36.04112117,1040.909842,96.76756305,696.3891421,146.6819314,48.6409874
WLW5,184.402,6.421978325,11.07733685,2056.034906,14.50158397,967.5959295,107.4496999,802.9399078,127.5073146,38.26068956
WLW5,184.302,5.573521836,7.501693769,2446.98407,14.87515006,789.6345479,131.5513756,869.1079146,94.6578328,55.43012582
WLW5,184.202,18.56258098,23.92077567,3339.541791,35.79031564,185.5882134,136.8433394,907.4785164,181.1375676,47.69293703
WLW5,184.102,11.81887735,21.50241026,2464.839953,21.81588241,803.0178649,121.693896,846.563605,126.3269616,47.69293703
WLW5,184.002,7.898342191,12.09283293,5164.942593,35.25050098,2009.657083,368.6593721,5053.961018,209.9816378,94.93179548
