sensor,telev,length,gelev,latitude,longitude
WLW1,607.738,4.08,606.548,41.607313,-87.690286
WLW2,607.901,4.35,606.322,41.607279,-87.689271
WLW3,607.627,4.37,606.528,41.608026,-87.688241
WLW4,606.992,4.05,606.14,41.60669,-87.68806
WLW5,607.39,4.35,606.305,41.607355,-87.686898
WLW6,608.555,4.3,607.294,41.607376,-87.685553
WLW7,611.71,4.5,610.264,41.604864,-87.690424
WLW8,613.717,4.36,612.086,41.605637,-87.689245
WLW9,610.027,4.35,608.785,41.606277,-87.688627
WLW10,608.676,4.1,607.469,41.606655,-87.68218
WLW12,610.657,4.56,609.705,41.60558,-87.68726
WLW13,613.871,7.49,612.69,41.60596,-87.692
WLW14,607.534,4.56,606.467,41.60567,-87.68457
WLS1,608.611,4.85,603.302,41.60818806,-87.69035055
WLS2,610.722,4.95,605.752,41.607271,-87.688062
WLS3,609.205,4.72,604.238,41.607755,-87.687445
WLS4,610.605,5.26,605.166,41.60743483,-87.6862757
WLS5,613.705,5.33,608.234,41.604509,-87.690874
WLS6,610.154,4.98,604.997,41.60497,-87.68377
WLS7,610.823,5,605.74,41.606328,-87.684945
WLS8,608.08,4.81,602.676,41.60824325,-87.68279613
